timestamp_utc,phase,sample_idx,src,dst
2026-04-19T12:52:34.126249+00:00,pre_attack,0,24,97
2026-04-19T12:52:34.126249+00:00,pre_attack,0,16,93
2026-04-19T12:52:34.126249+00:00,pre_attack,0,35,106
2026-04-19T12:52:34.126249+00:00,pre_attack,0,36,71
2026-04-19T12:52:34.126249+00:00,pre_attack,0,55,84
2026-04-19T12:52:34.126249+00:00,pre_attack,0,47,80
2026-04-19T12:52:34.126249+00:00,pre_attack,0,40,41
2026-04-19T12:52:34.126249+00:00,pre_attack,0,5,83
2026-04-19T12:52:34.126249+00:00,pre_attack,0,17,94
2026-04-19T12:52:34.126249+00:00,pre_attack,0,58,95
2026-04-19T12:52:34.126249+00:00,pre_attack,0,9,90
2026-04-19T12:52:34.126249+00:00,pre_attack,0,29,68
2026-04-19T12:52:34.126249+00:00,pre_attack,0,21,64
2026-04-19T12:52:34.126249+00:00,pre_attack,0,61,100
2026-04-19T12:52:34.126249+00:00,pre_attack,0,25,34
2026-04-19T12:52:34.126249+00:00,pre_attack,0,39,81
2026-04-19T12:52:34.126249+00:00,pre_attack,0,10,54
2026-04-19T12:52:34.126249+00:00,pre_attack,0,54,97
2026-04-19T12:52:34.126249+00:00,pre_attack,0,14,24
2026-04-19T12:52:34.126249+00:00,pre_attack,0,74,75
2026-04-19T12:52:34.126249+00:00,pre_attack,0,66,71
2026-04-19T12:52:34.126249+00:00,pre_attack,0,4,96
2026-04-19T12:52:34.126249+00:00,pre_attack,0,51,91
2026-04-19T12:52:34.126249+00:00,pre_attack,0,36,48
2026-04-19T12:52:34.126249+00:00,pre_attack,0,15,25
2026-04-19T12:52:34.126249+00:00,pre_attack,0,96,99
2026-04-19T12:52:34.126249+00:00,pre_attack,0,88,95
2026-04-19T12:52:34.126249+00:00,pre_attack,0,13,101
2026-04-19T12:52:34.126249+00:00,pre_attack,0,59,68
2026-04-19T12:52:34.126249+00:00,pre_attack,0,46,98
2026-04-19T12:52:34.126249+00:00,pre_attack,0,70,77
2026-04-19T12:52:34.126249+00:00,pre_attack,0,17,71
2026-04-19T12:52:34.126249+00:00,pre_attack,0,57,107
2026-04-19T12:52:34.126249+00:00,pre_attack,0,36,84
2026-04-19T12:52:34.126249+00:00,pre_attack,0,49,103
2026-04-19T12:52:34.126249+00:00,pre_attack,0,29,45
2026-04-19T12:52:34.126249+00:00,pre_attack,0,21,41
2026-04-19T12:52:34.126249+00:00,pre_attack,0,92,101
2026-04-19T12:52:34.126249+00:00,pre_attack,0,50,104
2026-04-19T12:52:34.126249+00:00,pre_attack,0,10,31
2026-04-19T12:52:34.126249+00:00,pre_attack,0,81,91
2026-04-19T12:52:34.126249+00:00,pre_attack,0,54,74
2026-04-19T12:52:34.126249+00:00,pre_attack,0,20,81
2026-04-19T12:52:34.126249+00:00,pre_attack,0,39,94
2026-04-19T12:52:34.126249+00:00,pre_attack,0,84,102
2026-04-19T12:52:34.126249+00:00,pre_attack,0,14,37
2026-04-19T12:52:34.126249+00:00,pre_attack,0,66,84
2026-04-19T12:52:34.126249+00:00,pre_attack,0,32,91
2026-04-19T12:52:34.126249+00:00,pre_attack,0,24,87
2026-04-19T12:52:34.126249+00:00,pre_attack,0,65,88
2026-04-19T12:52:34.126249+00:00,pre_attack,0,35,96
2026-04-19T12:52:34.126249+00:00,pre_attack,0,36,61
2026-04-19T12:52:34.126249+00:00,pre_attack,0,28,57
2026-04-19T12:52:34.126249+00:00,pre_attack,0,68,93
2026-04-19T12:52:34.126249+00:00,pre_attack,0,47,70
2026-04-19T12:52:34.126249+00:00,pre_attack,0,88,108
2026-04-19T12:52:34.126249+00:00,pre_attack,0,6,38
2026-04-19T12:52:34.126249+00:00,pre_attack,0,9,80
2026-04-19T12:52:34.126249+00:00,pre_attack,0,69,94
2026-04-19T12:52:34.126249+00:00,pre_attack,0,42,77
2026-04-19T12:52:34.126249+00:00,pre_attack,0,80,103
2026-04-19T12:52:34.126249+00:00,pre_attack,0,27,97
2026-04-19T12:52:34.126249+00:00,pre_attack,0,19,93
2026-04-19T12:52:34.126249+00:00,pre_attack,0,11,89
2026-04-19T12:52:34.126249+00:00,pre_attack,0,30,102
2026-04-19T12:52:34.126249+00:00,pre_attack,0,62,91
2026-04-19T12:52:34.126249+00:00,pre_attack,0,20,94
2026-04-19T12:52:34.126249+00:00,pre_attack,0,72,104
2026-04-19T12:52:34.126249+00:00,pre_attack,0,24,64
2026-04-19T12:52:34.126249+00:00,pre_attack,0,17,25
2026-04-19T12:52:34.126249+00:00,pre_attack,0,35,73
2026-04-19T12:52:34.126249+00:00,pre_attack,0,7,11
2026-04-19T12:52:34.126249+00:00,pre_attack,0,46,88
2026-04-19T12:52:34.126249+00:00,pre_attack,0,65,101
2026-04-19T12:52:34.126249+00:00,pre_attack,0,69,71
2026-04-19T12:52:34.126249+00:00,pre_attack,0,7,96
