timestamp_utc,phase,sample_idx,src,dst
2026-04-23T04:34:51.552213+00:00,pre_attack,0,76,107
2026-04-23T04:34:51.552213+00:00,pre_attack,0,11,14
2026-04-23T04:34:51.552213+00:00,pre_attack,0,17,94
2026-04-23T04:34:51.552213+00:00,pre_attack,0,58,95
2026-04-23T04:34:51.552213+00:00,pre_attack,0,50,91
2026-04-23T04:34:51.552213+00:00,pre_attack,0,40,77
2026-04-23T04:34:51.552213+00:00,pre_attack,0,73,74
2026-04-23T04:34:51.552213+00:00,pre_attack,0,25,34
2026-04-23T04:34:51.552213+00:00,pre_attack,0,10,54
2026-04-23T04:34:51.552213+00:00,pre_attack,0,74,75
2026-04-23T04:34:51.552213+00:00,pre_attack,0,66,71
2026-04-23T04:34:51.552213+00:00,pre_attack,0,12,100
2026-04-23T04:34:51.552213+00:00,pre_attack,0,32,78
2026-04-23T04:34:51.552213+00:00,pre_attack,0,51,91
2026-04-23T04:34:51.552213+00:00,pre_attack,0,16,70
2026-04-23T04:34:51.552213+00:00,pre_attack,0,96,99
2026-04-23T04:34:51.552213+00:00,pre_attack,0,107,108
2026-04-23T04:34:51.552213+00:00,pre_attack,0,46,98
2026-04-23T04:34:51.552213+00:00,pre_attack,0,70,77
2026-04-23T04:34:51.552213+00:00,pre_attack,0,17,71
2026-04-23T04:34:51.552213+00:00,pre_attack,0,57,107
2026-04-23T04:34:51.552213+00:00,pre_attack,0,36,84
2026-04-23T04:34:51.552213+00:00,pre_attack,0,77,85
2026-04-23T04:34:51.552213+00:00,pre_attack,0,28,80
2026-04-23T04:34:51.552213+00:00,pre_attack,0,80,90
2026-04-23T04:34:51.552213+00:00,pre_attack,0,100,105
2026-04-23T04:34:51.552213+00:00,pre_attack,0,73,87
2026-04-23T04:34:51.552213+00:00,pre_attack,0,51,68
2026-04-23T04:34:51.552213+00:00,pre_attack,0,3,28
2026-04-23T04:34:51.552213+00:00,pre_attack,0,35,60
2026-04-23T04:34:51.552213+00:00,pre_attack,0,87,107
2026-04-23T04:34:51.552213+00:00,pre_attack,0,17,48
2026-04-23T04:34:51.552213+00:00,pre_attack,0,36,61
2026-04-23T04:34:51.552213+00:00,pre_attack,0,9,44
2026-04-23T04:34:51.552213+00:00,pre_attack,0,88,108
2026-04-23T04:34:51.552213+00:00,pre_attack,0,6,38
2026-04-23T04:34:51.552213+00:00,pre_attack,0,77,98
2026-04-23T04:34:51.552213+00:00,pre_attack,0,8,84
2026-04-23T04:34:51.552213+00:00,pre_attack,0,31,67
2026-04-23T04:34:51.552213+00:00,pre_attack,0,62,91
2026-04-23T04:34:51.552213+00:00,pre_attack,0,72,104
2026-04-23T04:34:51.552213+00:00,pre_attack,0,23,99
2026-04-23T04:34:51.552213+00:00,pre_attack,0,35,73
2026-04-23T04:34:51.552213+00:00,pre_attack,0,46,88
2026-04-23T04:34:51.552213+00:00,pre_attack,0,65,101
2026-04-23T04:34:51.552213+00:00,pre_attack,0,58,62
2026-04-23T04:34:51.552213+00:00,pre_attack,0,68,106
2026-04-23T04:34:51.552213+00:00,pre_attack,0,29,35
2026-04-23T04:34:51.552213+00:00,pre_attack,0,69,71
2026-04-23T04:34:51.552213+00:00,pre_attack,0,7,96
2026-04-23T04:34:51.552213+00:00,pre_attack,0,30,79
2026-04-23T04:34:51.552213+00:00,pre_attack,0,91,95
2026-04-23T04:34:51.552213+00:00,pre_attack,0,62,68
2026-04-23T04:34:51.552213+00:00,pre_attack,0,102,104
2026-04-23T04:34:51.552213+00:00,pre_attack,0,54,64
2026-04-23T04:34:51.552213+00:00,pre_attack,0,73,77
2026-04-23T04:34:51.552213+00:00,pre_attack,0,12,67
2026-04-23T04:34:51.552213+00:00,pre_attack,0,31,80
2026-04-23T04:34:51.552213+00:00,pre_attack,0,4,63
2026-04-23T04:34:51.552213+00:00,pre_attack,0,32,45
2026-04-23T04:34:51.552213+00:00,pre_attack,0,84,92
2026-04-23T04:34:51.552213+00:00,pre_attack,0,103,105
2026-04-23T04:34:51.552213+00:00,pre_attack,0,35,50
2026-04-23T04:34:51.552213+00:00,pre_attack,0,95,101
2026-04-23T04:34:51.552213+00:00,pre_attack,0,87,97
2026-04-23T04:34:51.552213+00:00,pre_attack,0,13,68
2026-04-23T04:34:51.552213+00:00,pre_attack,0,4,99
2026-04-23T04:34:51.552213+00:00,pre_attack,0,16,73
2026-04-23T04:34:51.552213+00:00,pre_attack,0,57,74
2026-04-23T04:34:51.552213+00:00,pre_attack,0,76,87
2026-04-23T04:34:51.552213+00:00,pre_attack,0,9,34
2026-04-23T04:34:51.552213+00:00,pre_attack,0,88,98
2026-04-23T04:34:51.552213+00:00,pre_attack,0,6,28
2026-04-23T04:34:51.552213+00:00,pre_attack,0,90,107
2026-04-23T04:34:51.552213+00:00,pre_attack,0,69,84
2026-04-23T04:34:51.552213+00:00,pre_attack,0,8,74
2026-04-23T04:34:51.552213+00:00,pre_attack,0,20,48
2026-04-23T04:34:51.552213+00:00,pre_attack,0,12,44
2026-04-23T04:34:51.552213+00:00,pre_attack,0,30,92
2026-04-23T04:34:51.552213+00:00,pre_attack,0,31,57
2026-04-23T04:34:51.552213+00:00,pre_attack,0,91,108
2026-04-23T04:34:51.552213+00:00,pre_attack,0,75,100
2026-04-23T04:34:51.552213+00:00,pre_attack,0,12,80
2026-04-23T04:34:51.552213+00:00,pre_attack,0,64,90
2026-04-23T04:34:51.552213+00:00,pre_attack,0,68,96
2026-04-23T04:34:51.552213+00:00,pre_attack,0,30,69
2026-04-23T04:34:51.552213+00:00,pre_attack,0,31,34
2026-04-23T04:34:51.552213+00:00,pre_attack,0,71,107
2026-04-23T04:34:51.552213+00:00,pre_attack,0,10,11
2026-04-23T04:34:51.552213+00:00,pre_attack,0,19,96
2026-04-23T04:34:51.552213+00:00,pre_attack,0,31,70
2026-04-23T04:34:51.552213+00:00,pre_attack,0,32,35
2026-04-23T04:34:51.552213+00:00,pre_attack,0,64,67
2026-04-23T04:34:51.552213+00:00,pre_attack,0,43,44
2026-04-23T04:34:51.552213+00:00,pre_attack,0,53,94
2026-04-23T04:34:51.552213+00:00,pre_attack,0,72,107
2026-04-23T04:34:51.552213+00:00,pre_attack,0,64,103
2026-04-23T04:34:51.552213+00:00,pre_attack,0,37,86
2026-04-23T04:34:51.552213+00:00,pre_attack,0,65,68
2026-04-23T04:34:51.552213+00:00,pre_attack,0,76,77
2026-04-23T04:34:51.552213+00:00,pre_attack,0,9,24
2026-04-23T04:34:51.552213+00:00,pre_attack,0,22,106
2026-04-23T04:34:51.552213+00:00,pre_attack,0,28,37
2026-04-23T04:34:51.552213+00:00,pre_attack,0,26,76
2026-04-23T04:34:51.552213+00:00,pre_attack,0,18,72
2026-04-23T04:34:51.552213+00:00,pre_attack,0,38,87
2026-04-23T04:34:51.552213+00:00,pre_attack,0,79,88
2026-04-23T04:34:51.552213+00:00,pre_attack,0,30,46
2026-04-23T04:34:51.552213+00:00,pre_attack,0,82,93
2026-04-23T04:34:51.552213+00:00,pre_attack,0,101,106
2026-04-23T04:34:51.552213+00:00,pre_attack,0,7,99
2026-04-23T04:34:51.552213+00:00,pre_attack,0,48,100
2026-04-23T04:34:51.552213+00:00,pre_attack,0,27,77
2026-04-23T04:34:51.552213+00:00,pre_attack,0,12,34
2026-04-23T04:34:51.552213+00:00,pre_attack,0,91,98
2026-04-23T04:34:51.552213+00:00,pre_attack,0,83,94
2026-04-23T04:34:51.552213+00:00,pre_attack,0,75,90
2026-04-23T04:34:51.552213+00:00,pre_attack,0,41,97
2026-04-23T04:34:51.552213+00:00,pre_attack,0,24,44
2026-04-23T04:34:51.552213+00:00,pre_attack,0,56,76
2026-04-23T04:34:51.552213+00:00,pre_attack,0,34,94
2026-04-23T04:34:51.552213+00:00,pre_attack,0,46,68
2026-04-23T04:34:51.552213+00:00,pre_attack,0,78,100
