timestamp_utc,phase,attack_label,action,target_count,params
2026-04-28T02:56:54.160029Z,attack_ramp,tc_netem_delay_loss,netem_apply,12,"{""delay_ms"": 120, ""loss_pct"": 5.0}"
2026-04-28T02:56:59.489007Z,recovery,tc_netem_delay_loss,netem_clear,12,
