run_id,reachable_ratio,block_height_spread,fork_events_total_seen
run-001,1.0,19,0
run-002,1.0,20,0
run-003,1.0,23,0
run-004,1.0,25,0
run-005,1.0,24,0
run-006,1.0,26,0
run-007,1.0,29,0
run-008,1.0,31,0
run-009,1.0,34,0
run-010,1.0,35,0
