run_id,reachable_ratio,block_height_spread,fork_events_total_seen
run-001,1.0,38,0
run-002,1.0,40,0
run-003,1.0,41,0
run-004,1.0,45,0
run-005,1.0,46,0
run-006,1.0,49,0
run-007,1.0,49,0
run-008,1.0,53,0
run-009,1.0,54,0
run-010,1.0,56,0
