timestamp_utc,phase,attack_label,action,target_count,params
2026-04-27T14:06:59.094778Z,attack_ramp,eclipse,setnetworkactive_false,9,
2026-04-27T14:07:08.808961Z,recovery,eclipse,setnetworkactive_true,9,
