run_id,reachable_ratio,block_height_spread,fork_events_total_seen
run-001,1.0,3027,4
run-002,1.0,3028,4
run-003,1.0,3029,4
run-004,1.0,3032,4
run-005,1.0,3033,4
run-006,1.0,3035,4
run-007,1.0,3036,4
run-008,1.0,3038,4
run-009,1.0,3039,6
run-010,1.0,3041,6
