run_id,reachable_ratio,block_height_spread,fork_events_total_seen
run-001,1.0,1999,6
run-002,1.0,2001,6
run-003,1.0,2002,6
run-004,1.0,2004,6
run-005,1.0,2005,6
run-006,1.0,2005,6
run-007,1.0,2007,6
run-008,1.0,2008,6
run-009,1.0,2010,6
run-010,1.0,2011,6
