timestamp_utc,phase,sample_idx,src,dst
2026-04-22T18:44:19.006777+00:00,pre_attack,0,16,93
2026-04-22T18:44:19.006777+00:00,pre_attack,0,35,106
2026-04-22T18:44:19.006777+00:00,pre_attack,0,76,107
2026-04-22T18:44:19.006777+00:00,pre_attack,0,8,9
2026-04-22T18:44:19.006777+00:00,pre_attack,0,40,41
2026-04-22T18:44:19.006777+00:00,pre_attack,0,58,95
2026-04-22T18:44:19.006777+00:00,pre_attack,0,9,90
2026-04-22T18:44:19.006777+00:00,pre_attack,0,69,104
2026-04-22T18:44:19.006777+00:00,pre_attack,0,21,64
2026-04-22T18:44:19.006777+00:00,pre_attack,0,40,77
2026-04-22T18:44:19.006777+00:00,pre_attack,0,41,42
2026-04-22T18:44:19.006777+00:00,pre_attack,0,73,74
2026-04-22T18:44:19.006777+00:00,pre_attack,0,25,34
2026-04-22T18:44:19.006777+00:00,pre_attack,0,10,54
2026-04-22T18:44:19.006777+00:00,pre_attack,0,74,75
2026-04-22T18:44:19.006777+00:00,pre_attack,0,20,104
2026-04-22T18:44:19.006777+00:00,pre_attack,0,12,100
2026-04-22T18:44:19.006777+00:00,pre_attack,0,4,96
2026-04-22T18:44:19.006777+00:00,pre_attack,0,32,78
2026-04-22T18:44:19.006777+00:00,pre_attack,0,51,91
2026-04-22T18:44:19.006777+00:00,pre_attack,0,16,70
2026-04-22T18:44:19.006777+00:00,pre_attack,0,47,57
2026-04-22T18:44:19.006777+00:00,pre_attack,0,107,108
2026-04-22T18:44:19.006777+00:00,pre_attack,0,99,104
2026-04-22T18:44:19.006777+00:00,pre_attack,0,70,77
2026-04-22T18:44:19.006777+00:00,pre_attack,0,36,84
2026-04-22T18:44:19.006777+00:00,pre_attack,0,77,85
2026-04-22T18:44:19.006777+00:00,pre_attack,0,69,81
2026-04-22T18:44:19.006777+00:00,pre_attack,0,40,54
2026-04-22T18:44:19.006777+00:00,pre_attack,0,80,90
2026-04-22T18:44:19.006777+00:00,pre_attack,0,100,105
2026-04-22T18:44:19.006777+00:00,pre_attack,0,50,104
2026-04-22T18:44:19.006777+00:00,pre_attack,0,42,100
2026-04-22T18:44:19.006777+00:00,pre_attack,0,81,91
2026-04-22T18:44:19.006777+00:00,pre_attack,0,54,74
2026-04-22T18:44:19.006777+00:00,pre_attack,0,73,87
