timestamp_utc,phase,attack_label,action,target_count,params
2026-04-28T02:55:58.052683Z,attack_ramp,tc_netem_delay_loss,netem_apply,4,"{""delay_ms"": 40, ""loss_pct"": 1.0}"
2026-04-28T02:56:02.260953Z,recovery,tc_netem_delay_loss,netem_clear,4,
