run_id,reachable_ratio,block_height_spread,fork_events_total_seen
run-001,1.0,60,0
run-002,1.0,62,0
run-003,1.0,64,0
run-004,1.0,66,0
run-005,1.0,68,0
run-006,1.0,69,0
run-007,1.0,72,0
run-008,1.0,73,0
run-009,1.0,75,0
run-010,1.0,77,0
