experiment_id,baseline,component,n,mean_delta,std,ci95_low,ci95_high
ED-MAIN-BASE,M-STAT,Rs,20,0.011856026494867732,0.014282726618287597,0.005171504674551876,0.018540548315183588
ED-MAIN-BASE,M-STAT,Rc,20,0.011384266263237613,0.03379698839623131,-0.004433211199805498,0.027201743726280724
ED-MAIN-BASE,M-STAT,Rr,20,-0.29675792634038856,0.06877923830947837,-0.3289476007318133,-0.26456825194896383
ED-MAIN-BASE,M-STAT,R,20,-0.0809168634483612,0.0266366884827152,-0.09338321739759146,-0.06845050949913094
ED-MAIN-LINK,M-ASIM,Rs,20,0.04186340819106475,0.13942307732514606,-0.02338860058450204,0.10711541696663154
ED-MAIN-LINK,M-ASIM,Rc,20,0.16398554378887212,0.19303970629242126,0.07364018023294897,0.25433090734479524
ED-MAIN-LINK,M-ASIM,Rr,20,-0.15035537004226945,0.10478352003907303,-0.19939556697594596,-0.10131517310859293
ED-MAIN-LINK,M-ASIM,R,20,0.03304662896018747,0.1428378575428933,-0.03380354615204278,0.09989680407241772
ED-MAIN-NETEM,M-STAT,Rs,20,0.005018332138756393,0.0160682306940662,-0.002501831311745333,0.012538495589258118
ED-MAIN-NETEM,M-STAT,Rc,20,0.022629853756933948,0.04223447747574716,0.0028635098506666727,0.04239619766320123
ED-MAIN-NETEM,M-STAT,Rr,20,-0.23685156727773063,0.0922581790807454,-0.2800297241975883,-0.19367341035787292
ED-MAIN-NETEM,M-STAT,R,20,-0.060498029038918696,0.032983297163750896,-0.0759346872827834,-0.045061370795054
