experiment_id,method_id,stat_key,comparison_id,test_name,n,mean,std,ci95_low,ci95_high,p_value_holm,effect_size
ED-MAIN-LINK,M-STAT,lcc_ratio.paired_delta,CMP-ED-MAIN-LINK-OUR-M-STAT,wilcoxon_signed_rank_delta_vs_0,20,0.05283018867924529,0.220767023651395,-0.0504919588520547,0.15615233621054528,0.01996681644884813,0.23930289861889645
ED-MAIN-NETEM,M-ASIM,R.paired_delta,CMP-ED-MAIN-NETEM-OUR-M-ASIM,one_sample_t_delta_vs_0,20,0.006546180045888766,0.014106179139790724,-5.571501107344296e-05,0.013148075102850976,0.05177472414982291,0.46406471809388095
ED-MAIN-NETEM,M-FPS,R.paired_delta,CMP-ED-MAIN-NETEM-OUR-M-FPS,wilcoxon_signed_rank_delta_vs_0,20,0.0630899414009608,0.027494431202702164,0.05022215150177483,0.07595773130014677,7.62939453125e-06,2.2946443567365122
ED-MAIN-NETEM,M-RESI,R.paired_delta,CMP-ED-MAIN-NETEM-OUR-M-RESI,wilcoxon_signed_rank_delta_vs_0,20,-0.11017087348829624,0.029562927430290063,-0.1240067494216186,-0.09633499755497388,5.7220458984375e-06,-3.726656426298824
ED-MAIN-NETEM,M-STAT,R.paired_delta,CMP-ED-MAIN-NETEM-OUR-M-STAT,one_sample_t_delta_vs_0,20,-0.060498029038918696,0.032983297163750896,-0.0759346872827834,-0.045061370795054,4.612914667131149e-07,-1.8342019822507882
ED-MAIN-NETEM,M-ASIM,avg_path_len.paired_delta,CMP-ED-MAIN-NETEM-OUR-M-ASIM,wilcoxon_signed_rank_delta_vs_0,20,-0.1241685672817748,0.02983035300324568,-0.1381296022358855,-0.11020753232766412,0.0002055451106429142,-4.162490710997107
ED-MAIN-NETEM,M-FPS,avg_path_len.paired_delta,CMP-ED-MAIN-NETEM-OUR-M-FPS,wilcoxon_signed_rank_delta_vs_0,20,-0.12422593130140298,0.029614714904983613,-0.13808604451895404,-0.11036581808385193,1.52587890625e-05,-4.1947366942404045
ED-MAIN-NETEM,M-RESI,avg_path_len.paired_delta,CMP-ED-MAIN-NETEM-OUR-M-RESI,wilcoxon_signed_rank_delta_vs_0,20,-0.12040690441633839,0.02993557808069254,-0.13441718622261087,-0.10639662261006591,1.52587890625e-05,-4.022200743602705
ED-MAIN-NETEM,M-STAT,avg_path_len.paired_delta,CMP-ED-MAIN-NETEM-OUR-M-STAT,wilcoxon_signed_rank_delta_vs_0,20,-0.12152533001589608,0.02925682271354285,-0.13521794453190766,-0.10783271549988449,0.0002055451106429142,-4.153743255231968
ED-MAIN-NETEM,M-ASIM,lcc_ratio.paired_delta,CMP-ED-MAIN-NETEM-OUR-M-ASIM,one_sample_t_delta_vs_0,20,0.0,0.0,0.0,0.0,nan,0.0
ED-MAIN-NETEM,M-FPS,lcc_ratio.paired_delta,CMP-ED-MAIN-NETEM-OUR-M-FPS,wilcoxon_signed_rank_delta_vs_0,20,0.0014150943396226412,0.0034561089484200303,-0.0002024144383947319,0.003032603117640014,0.0832645166635504,0.40944726012458477
ED-MAIN-NETEM,M-RESI,lcc_ratio.paired_delta,CMP-ED-MAIN-NETEM-OUR-M-RESI,wilcoxon_signed_rank_delta_vs_0,20,0.006603773584905659,0.004435493830015349,0.00452789857287181,0.008679648596939508,0.0005484318989455045,1.48884742894182
ED-MAIN-NETEM,M-STAT,lcc_ratio.paired_delta,CMP-ED-MAIN-NETEM-OUR-M-STAT,wilcoxon_signed_rank_delta_vs_0,20,0.0023584905660377353,0.004191147719993577,0.0003969730536467417,0.004320008078428729,0.050694637354936505,0.5627314338711378
